category,question,answer
Animal,What is the name of a baby kangaroo?,A joey
Animal,On average how many teeth does a dolphin have?,Around 240
Animal,How many years can a snail sleep for?,Three
Animal,What is a female horse called?,A mare
Animal,What colors are flamingos born?,Grey
Animal,Why do otters hold hands while sleeping?,So they don’t float away from each other
Animal,What is the life span of an adult mayfly?,A day
Animal,What is a group of lions called?,A pride
Animal,How many brains does a giant pacific octopus have?,Nine
Animal,What is the loudest land animal?,A howler monkey
Animal,In which continent would you find a poison dart frog?,South America
Animal,What color is a polar bear’s skin under their fur?,Black
Animal,What are rhino’s horns made out of?,Keratin
Animal,Which animal has a fingerprint extremely similar to a human being?,Koala
Animal,What bird features on the flag of Mexico?,An eagle
Animal,What is the name of the snake in The Jungle Book?,Kaa
Animal,How many ants are there estimated to be per every human?,2.5 million ants
Animal,What was the most popular dog breed in 2023?,French bulldog
Animal,Which mammals mourn their dead?,Elephants
Animal,What percentage of mammals are monogamous?,Around 3 to 5%
Fashion,Who was named Men's Creative Director of Louis Vuitton in 2023?,Pharrell Williams
Fashion,What is the name of Kylie Jenner's fashion label?,Khy
Fashion,Which fashion designer is the little black dress synonymous with?,Coco Chanel
Fashion,Which fashion house took centre stage in a 2021 film with Lady Gaga and Adam Driver?,House of Gucci
Fashion,What nationality is supermodel Heidi Klum?,German-American
Fashion,What handbag is widely thought of as the most expensive in the world?,The Hermes Birkin
Fashion,Who designed Meghan Markle's evening wedding dress?,Stella McCartney
Fashion,What year did fashion designer Vivienne Westwood die?,2022
Fashion,Which Saltburn actor was named a Global Ambassador for Burberry in 2024?,Barry Keoghan
Fashion,What type of clothing item are espadrilles?,Shoes
Food,What fruit takes the scientific name Mangifera indica?,Mango
Food,Where was the mojito cocktail created?,Cuba
Food,What did Snickers bars used to be called before the name was changed in 1990?,Marathon bars
Food,What grain is the Japanese spirit Sake made from?,Rice
Food,Which dish was voted as the national dish of the UK?,Chicken Tikka
Food,Which country consumes the most chocolate per capita?,Switzerland
Food,What alcoholic drink is primarily made from juniper berries?,Gin
Food,What year was Heinz established?,1869
Food,Which fast food chain’s slogan is ‘finger lickin good’?,KFC
Food,What are the components of a California roll?,"Crab, avocado, cucumber, rice, and dry seaweed"
Food,Is an avocado a fruit or a vegetable?,Fruit
Food,In which country did the Caesar salad originate?,Mexico
Food,What is the hottest chilli pepper?,Carolina Reaper
Food,Which TV chef presents Hell's Kitchen?,Gordon Ramsay
Food,What is the most expensive fruit in the world?,Yubari King Melon
Food,What was the original purpose of gin?,A medicine
Food,What is the most consumed alcoholic drink in the world?,Beer
Food,What is the national drink of Brazil?,Caipirinha
Food,What type of seafood is used in the Spanish dish paella?,Shrimp
Food,"What is the name of the sweet, tangy fruit used to flavour Worcestershire sauce?",Tamarind
General,What is the capital of Finland?,General knowledge quiz answers
General,What is the name of Bridget Jones' baby in the third Bridget Jones film?,Helsinki
General,Which five colors make up the Olympic rings?,William
General,In which decade was Madonna born?,"Black, green, blue, yellow and red"
General,What is the most sold flavour of Walker's crisps?,The 1950s (1958)
General,What's the biggest animal in the world?,Cheese and Onion
General,"For one point, put the following Kardashian-Jenners in order of age, oldest to youngest: Khloé, Kylie, Rob, Kourtney, Kendall, Kim, Kris",The blue whale
General,How many times has Andy Murray won Wimbledon playing singles?,"Oldest to youngest: Kris, 67, Kourtney, 44, Kim, 42, Khloé, 39, Rob, 36, Kendall, 27, Kylie, 26"
General,Which country is brie cheese originally from?,Twice - in 2013 against Novak Djokovic and in 2016 against Milos Raonic
General,In what franchise would you find the character Katniss Everdeen?,France
General,What does Hakuna Matata mean?,The Hunger Games
General,What is the capital of Iceland?,No worries
General,Who came second in the FIFA Women's World Cup in 2019?,Reykjavík
General,What year did Margaret Thatcher die?,Netherlands
General,What does IPA stand for?,"2013, on the 8th April"
General,Who painted the Mona Lisa?,Indian Pale Ale
General,Which planet is closest to the sun?,Leonardo da Vinci
General,What was Queen Elizabeth II's surname?,Mercury
General,Who plays Delboy Trotter in Only Fools And Horses?,Windsor. Her full name is Elizabeth Alexandra Mary Windsor
General,What is the largest country in the world?,David Jason
General,Which fashion designer reportedly had a relationship with Winston Churchill?,Russia
General,How many valves does the heart have?,Coco Chanel
General,What is the name of the school in Sex Education?,"Four - the mitral, tricuspid, aortic and pulmonic valves"
General,"In Harry Potter, what is the name of The Weasley's house?",Moordale High
General,"Put these Tom Hanks films in chronological order: Catch Me If You Can, Forrest Gump, The Terminal, Bridge Of Spies",The Burrow
General,"Typically, what four ingredients go into a cosmopolitan cocktail? (For one point)","Forrest Gump (1994), Catch Me If You Can (2002), The Terminal (2004), Bridge Of Spies (2015)"
General,Who has been the Vice President of the United States since 2021?,"Fresh lime juice, vodka, cranberry juice, triple sec/cointreau/orange liqueur"
General,Which city had the first ever fashion week?,Kamala Harris
General,What nut is in the middle of a Ferrero Rocher?,"New York, in 1943"
General,What does LGBTQ stand for?,Hazelnut
General,"What did Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams collectively create?","Lesbian, gay, bisexual, transgender, and questioning (or queer)"
General,"To a single decimal point, many kilometres in a mile?",Twitter
General,Who is the highest spiritual leader of Tibet?,1.6km
General,What month was Prince George born?,The Dalai Lama
General,What three colors make up the flag of Lithuania?,July
General,What is the name of a shape with nine sides?,"In order yellow, green and red"
General,What flavour chocolate would you find in a green triangle in a box of Quality Streets,Nonagon
General,Who won Big Brother in 2023?,Praline chocolate
General,Where is known as ‘the happiest place on Earth?’,Jordan Sangha
General,What is the chemical symbol for tin?,Disneyland
General,"Which actor has been in Bridget Jones, Love Actually, Nanny McPhee and Mamma Mia!",Sn
General,What is the square root of 16?,Colin Firth
General,How many days are in a leap year?,4
General,What are the colors of the rainbow?,366 days
General,What vegetable is vodka traditionally made from?,"Red, orange, yellow, green, blue, indigo and violet"
General,Where were the 2000s Summer Olympics called?,Potato
General,Which fashion designer goes by the initials YSL?,"Sydney, Australia"
General,Name the London borough the Houses of Parliament are in,Yves Saint Laurent
General,What does the TV acronym MAFSAU stand for?,Westminster
